"pfil_gene","gene_name","contig","Entrez_id","pN_mc","pS_mc","pN_pipra","pS_pipra","pN_all","pS_all","dN_orig","dS_orig","pN","pS","dN","dS","pN.pS","dN.dS","alpha","NeutralityIndex","fisher.test.P","fisher.test.Padj","best_anno","dummy_name","GO"
"DCLK1","DCLK1","NW_021940208.1",103767149,0,3,0,1,0,0,0,2,0,4,0,2,0,0,NA,NA,NA,NA,"DCLK1","DCLK1","GO:0006468;GO:0016197;GO:0009615;GO:0048675;GO:0048812;GO:0007417;GO:0021952;GO:0035556;GO:0018105;GO:0001764;GO:1900181;GO:0048813;GO:0007399;GO:0030900"
"DCLK2","DCLK2","NW_021938789.1",103763503,3,6,0,0,0,0,3,8,3,6,3,8,0.5,0.375,-0.333333333333333,1.33333333333333,1,1,"DCLK2","DCLK2","GO:0000226;GO:0035556;GO:0006468"
"DCLK3","DCLK3","NW_021940535.1",103758848,3,6,0,0,0,0,2,6,3,6,2,6,0.5,0.333333333333333,-0.5,1.5,1,1,"DCLK3","DCLK3","GO:0018105"
"DCLRE1A","DCLRE1A","NW_021939122.1",103759913,9,10,5,1,0,0,11,7,14,11,11,7,1.27272727272727,1.57142857142857,0.190082644628099,0.809917355371901,0.764884897328647,1,"DCLRE1A","DCLRE1A","GO:0051301;GO:0090305;GO:0006303;GO:0036297;GO:0007049;GO:0031848"
"DCLRE1B","DCLRE1B","NW_021940585.1",103756436,7,8,1,1,0,0,2,2,8,9,2,2,0.888888888888889,1,0.111111111111111,0.888888888888889,1,1,"DCLRE1B","DCLRE1B","GO:0031848;GO:0016233;GO:0007093;GO:0010833;GO:0090305;GO:0036297;GO:0031860;GO:0000723;GO:0006303;GO:0031627"
"DCLRE1C","DCLRE1C","NW_021938999.1",103755602,13,8,2,1,0,0,6,4,15,9,6,4,1.66666666666667,1.5,-0.111111111111111,1.11111111111111,1,1,"DCLRE1C","DCLRE1C","GO:0090305;GO:0030183;GO:0002250;GO:0006303;GO:0010212;GO:0036297;GO:0031848;GO:0033151"
"DCN","DCN","NW_021940682.1",103767501,0,1,0,0,0,0,0,7,0,1,0,7,0,0,NA,NA,NA,NA,"DCN","DCN","GO:0030207;GO:0032496;GO:0051901;GO:0007568;GO:0016239;GO:0030206;GO:0010508;GO:0016525;GO:0030198;GO:0030208;GO:0001890;GO:0042060;GO:0009612;GO:0010596;GO:1900747;GO:0014068;GO:0001822;GO:0007519;GO:0019800;GO:0009887;GO:0045944;GO:0090141"
"DCP1A","DCP1A","NW_021939063.1",103755329,1,4,0,1,0,0,0,4,1,5,0,4,0.2,0,-Inf,Inf,1,1,"DCP1A","DCP1A","GO:0043085;GO:0000290;GO:0043928;GO:0043488;GO:0031087;GO:1903608;GO:0000184"
"DCP1B","DCP1B","NW_021940682.1",103754894,2,3,1,0,0,0,6,15,3,3,6,15,1,0.4,-1.5,2.5,0.36734569778048,1,"DCP1B","DCP1B","GO:0000290;GO:0031087;GO:0000184;GO:0043085;GO:0043928"
"DCP2","DCP2","NW_021939718.1",103755487,1,1,1,0,0,0,6,5,2,1,6,5,2,1.2,-0.666666666666667,1.66666666666667,1,1,"DCP2","DCP2","GO:0043928;GO:0090503;GO:0043488;GO:0000290;GO:0032211;GO:0000184;GO:0071044;GO:1904872;GO:0006402"
"DCPS","DCPS","NW_021940545.1",103762731,3,5,1,1,1,0,1,6,5,6,1,6,0.833333333333333,0.166666666666667,-4,5,0.315610859728507,1,"DCPS","DCPS","GO:0000290;GO:0090503;GO:0036245;GO:0000288;GO:0043069;GO:0045292;GO:0043928"
"DCST2","LOC103761268","NW_021938827.1",103761268,13,23,3,0,0,1,3,10,16,24,3,10,0.666666666666667,0.3,-1.22222222222222,2.22222222222222,0.333984033606751,1,"DCST2",NA,NA
"DCSTAMP","DCSTAMP","NW_021939396.1",103757877,4,5,0,2,0,0,2,6,4,7,2,6,0.571428571428571,0.333333333333333,-0.714285714285714,1.71428571428571,1,1,"DCSTAMP","DCSTAMP","GO:0045780;GO:0071356;GO:0061025;GO:0034241;GO:0045657;GO:0036006;GO:0043011;GO:0071353;GO:0030316;GO:0030308;GO:0072675"
"DCT","DCT","NW_021940208.1",103762477,5,5,0,0,0,0,1,7,5,5,1,7,1,0.142857142857143,-6,7,0.15158371040724,1,"DCT","DCT","GO:0006583;GO:0048468;GO:0021847;GO:0048066;GO:0042438;GO:0008544;GO:0002052;GO:0009637"
"DCTD","DCTD","NW_021938789.1",103758532,2,1,0,1,0,0,0,2,2,2,0,2,1,0,-Inf,Inf,0.466666666666667,1,"DCTD","DCTD","GO:0015949;GO:0006226;GO:0006231;GO:0006220"
"DCTN1","DCTN1","NW_021939318.1",103764730,1,8,0,0,0,0,1,1,1,8,1,1,0.125,1,0.875,0.125,0.345454545454545,1,"DCTN1","DCTN1","GO:0031116;GO:0021517;GO:0051301;GO:1905515;GO:0098930;GO:0061744;GO:1904398;GO:0019886;GO:1990535;GO:0097711;GO:0036498;GO:0099558;GO:0090063;GO:0070050;GO:0010389;GO:0060236;GO:0006888;GO:0000278;GO:0042147;GO:0010457;GO:0000132;GO:0007399;GO:0034454;GO:0007097;GO:0000086;GO:0031122;GO:0050905;GO:0007528;GO:0051081"
"DCTN3","DCTN3","NW_021940508.1",103761151,2,2,0,0,0,0,2,2,2,2,2,2,1,1,0,1,1,1,"DCTN3","DCTN3","GO:0010389;GO:0006888;GO:0097711;GO:0000086;GO:0061640;GO:0007017;GO:0019886;GO:0000278"
"DCTN4","DCTN4","NW_021940620.1",103755101,1,6,0,3,0,0,0,4,1,9,0,4,0.111111111111111,0,-Inf,Inf,1,1,"DCTN4","DCTN4","GO:0019886;GO:0006888"
"DCTN5","DCTN5","NW_021940884.1",103761487,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"DCTN5","DCTN5","GO:0006888;GO:0035904;GO:0003281;GO:0019886;GO:0060976"
"DCTN6","DCTN6","NW_021939087.1",103758423,0,1,0,1,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,"DCTN6","DCTN6","GO:0019886;GO:0006888;GO:0007052"
"DCUN1D1","DCUN1D1","NW_021940207.1",103758226,0,1,0,0,0,0,0,4,0,1,0,4,0,0,NA,NA,NA,NA,"DCUN1D1","DCUN1D1","GO:2000434;GO:0051443;GO:0031396;GO:0045116;GO:2000436;GO:0043687"
"DCUN1D2","DCUN1D2","NW_021940813.1",103759813,2,0,0,0,0,0,0,3,2,0,0,3,Inf,0,-Inf,Inf,0.1,1,"DCUN1D2","DCUN1D2","GO:0045116;GO:2000436;GO:2000434;GO:0051443"
"DCUN1D3","DCUN1D3","NW_021938949.1",103761406,1,0,0,0,0,0,2,3,1,0,2,3,Inf,0.666666666666667,-Inf,Inf,1,1,"DCUN1D3","DCUN1D3","GO:0010564;GO:0043065;GO:0030308;GO:2000134;GO:0051443;GO:2000434;GO:0010225;GO:0010332;GO:0043687;GO:2000435;GO:0045116;GO:2000436"
"DCUN1D4","DCUN1D4","NW_021938789.1",103760886,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"DCUN1D4","DCUN1D4","GO:0045116;GO:0051443;GO:2000436"
"DCUN1D5","DCUN1D5","NW_021940208.1",103756723,0,1,0,1,0,0,0,2,0,2,0,2,0,0,NA,NA,NA,NA,"DCUN1D5","DCUN1D5","GO:0006974;GO:2000434;GO:2000436;GO:0045116;GO:0001558;GO:0051443"
"DCX","DCX","NW_021940704.1",103754907,0,3,0,0,0,0,0,5,0,3,0,5,0,0,NA,NA,NA,NA,"DCX","DCX","GO:0007399;GO:0042461;GO:0001764;GO:0060041;GO:0035082;GO:0007417;GO:0035556"
"DCXR","DCXR","NW_021939798.1",103755831,1,1,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA,"DCXR","DCXR","GO:0006739;GO:0006006;GO:0005997;GO:0019640;GO:0042732"
"DDB1","DDB1","NW_021938935.1",103765093,2,14,0,8,0,0,1,23,2,22,1,23,0.0909090909090909,0.0434782608695652,-1.09090909090909,2.09090909090909,1,1,"DDB1","DDB1","GO:0042769;GO:0035518;GO:0043161;GO:0033683;GO:0048511;GO:0045070;GO:0046726;GO:0006281;GO:0045722;GO:0006974;GO:1902188;GO:0043687;GO:0006295;GO:0006293;GO:0000715;GO:0016567;GO:0006283;GO:0006294;GO:0006511;GO:0006296;GO:0070911;GO:0016032;GO:0010498;GO:0000717;GO:0045732;GO:0051702;GO:1901990;GO:0070914"
"DDB2","DDB2","NW_021940750.1",103754007,2,2,0,0,0,0,2,5,2,2,2,5,1,0.4,-1.5,2.5,0.575757575757576,1,"DDB2","DDB2","GO:0006294;GO:0006296;GO:0035518;GO:0043687;GO:0070914;GO:0006290;GO:0070911;GO:0033683;GO:0016579;GO:0006289;GO:0051865;GO:0006293;GO:0000717;GO:0009411;GO:0006295;GO:0006281;GO:0000209;GO:0000715"
"DDC","DDC","NW_021939256.1",103759457,2,3,0,0,0,0,1,8,2,3,1,8,0.666666666666667,0.125,-4.33333333333333,5.33333333333333,0.505494505494505,1,"DDC","DDC","GO:0042427;GO:0007623;GO:0010259;GO:0071312;GO:0046219;GO:0071363;GO:0015842;GO:0042423;GO:0052314;GO:0006584;GO:0006520;GO:0042416;GO:0033076;GO:0035690;GO:0046684"
"DDHD1","DDHD1","NW_021938814.1",103754127,0,9,1,4,0,0,0,2,1,13,0,2,0.0769230769230769,0,-Inf,Inf,1,1,"DDHD1","DDHD1","GO:0016042;GO:0006654;GO:0090141"
"DDHD2","DDHD2","NW_021940854.1",103763190,7,14,1,0,0,1,1,3,8,15,1,3,0.533333333333333,0.333333333333333,-0.6,1.6,1,1,"DDHD2","DDHD2","GO:0090141;GO:0007626;GO:0019433;GO:0006654;GO:0008542;GO:0034389"
"DDIAS","DDIAS","NW_021940208.1",103757062,9,6,2,2,0,0,17,14,11,8,17,14,1.375,1.21428571428571,-0.132352941176471,1.13235294117647,1,1,"DDIAS","DDIAS","GO:0071850;GO:1902230;GO:0097752;GO:0006915"
"DDIT4","DDIT4","NW_021940593.1",108640920,1,1,0,0,0,0,0,1,1,1,0,1,1,0,-Inf,Inf,1,1,"DDIT4","DDIT4","GO:0072593;GO:0048011;GO:0033137;GO:0032006;GO:0007420;GO:0045820;GO:1902532;GO:0032984;GO:0030182;GO:0071549;GO:0001666;GO:1901216;GO:0010801;GO:0032007;GO:0042771;GO:0001764;GO:0051607;GO:0006915"
"DDOST","DDOST","NW_021940877.1",103760793,0,9,0,2,0,0,1,2,0,11,1,2,0,0.5,1,0,0.214285714285714,1,"DDOST","DDOST","GO:0043312;GO:0018279;GO:0031647;GO:0006487;GO:0050790;GO:0006486;GO:0034097;GO:0042110"
"DDR2","DDR2","NW_021940565.1",103759977,0,8,0,2,0,1,3,12,0,11,3,12,0,0.25,1,0,0.238461538461538,1,"DDR2","DDR2","GO:0030500;GO:0007165;GO:0001503;GO:0030199;GO:0010763;GO:0018108;GO:0046777;GO:0007169;GO:0051091;GO:0031214;GO:0038063;GO:0035988;GO:0048146;GO:0010715;GO:0034103;GO:0045669;GO:0007155;GO:0090091;GO:0007275;GO:0030198;GO:0045860;GO:0003416;GO:0033674"
"DDRGK1","DDRGK1","NW_021940696.1",103767483,1,3,0,1,0,0,1,0,1,4,1,0,0.25,Inf,1,0,0.333333333333333,1,"DDRGK1","DDRGK1","GO:0071569;GO:1903721;GO:0043066;GO:1905552;GO:1905050;GO:1905636;GO:0031647;GO:1903895;GO:0045944;GO:0051092;GO:0034976;GO:0030335;GO:0070972;GO:0010629;GO:1990592;GO:0051216;GO:1901800;GO:0061709;GO:0032436;GO:0032435;GO:0010628;GO:1902808;GO:0033146;GO:0008284"
"DDT","LOC108641238","NW_021940671.1",108641238,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"DDT","DDT","GO:0032760;GO:0050729;GO:0042438;GO:0070374;GO:0010760"
"DDX1","DDX1","NW_021938895.1",103764380,0,8,0,1,0,0,2,6,0,9,2,6,0,0.333333333333333,1,0,0.205882352941176,1,"DDX1","DDX1","GO:0006388;GO:1903608;GO:0006446;GO:0016032;GO:0051607;GO:0090305;GO:0000245;GO:0032508;GO:0006355;GO:0006302;GO:0043123;GO:0007275;GO:0045087"
"DDX10","DDX10","NW_021940208.1",103756713,7,9,0,2,0,1,5,10,7,12,5,10,0.583333333333333,0.5,-0.166666666666667,1.16666666666667,1,1,"DDX10","DDX10","GO:0006364;GO:0097065"
"DDX11","DDX11","NW_021940682.1",103754812,5,12,2,1,0,0,3,6,7,13,3,6,0.538461538461538,0.5,-0.0769230769230769,1.07692307692308,1,1,"DDX11","DDX11","GO:0044806;GO:0072719;GO:0006281;GO:0032508;GO:0036498;GO:0016032;GO:0072711;GO:0007062;GO:0045876;GO:0035563;GO:0031297;GO:1990700;GO:0007275;GO:2000781;GO:1904976;GO:0032079;GO:1901838;GO:0006974;GO:0032091;GO:0034085"
"DDX17","DDX17","NW_021940682.1",103764706,0,4,0,0,0,0,0,4,0,4,0,4,0,0,NA,NA,NA,NA,"DDX17","DDX17","GO:0010586;GO:0006357;GO:0000380;GO:0006396;GO:0030520;GO:0030521;GO:0001837;GO:0006364;GO:0045445;GO:0031047;GO:2001014;GO:0051607;GO:0000381;GO:0045944"
"DDX18","DDX18","NW_021939632.1",103756949,2,6,0,0,0,0,2,8,2,6,2,8,0.333333333333333,0.25,-0.333333333333333,1.33333333333333,1,1,"DDX18","DDX18","GO:0071392;GO:0000463"
"DDX20","DDX20","NW_021940585.1",103757625,1,6,1,2,0,0,2,2,2,8,2,2,0.25,1,0.75,0.25,0.520479520479521,1,"DDX20","DDX20","GO:0006396;GO:0051170;GO:0000122;GO:0000387;GO:0043065;GO:0000244"
"DDX23","DDX23","NW_021939352.1",115307376,0,3,1,2,0,0,0,0,1,5,0,0,0.2,NA,NA,NA,NA,NA,"DDX23","DDX23","GO:0000398;GO:0062176;GO:0008380;GO:0000375;GO:0000354"
"DDX24","DDX24","NW_021940750.1",103766554,6,5,1,2,0,0,7,4,7,7,7,4,1,1.75,0.428571428571429,0.571428571428571,0.688745456992866,1,"DDX24","DDX24","GO:0016070"
"DDX25","DDX25","NW_021940545.1",103762739,3,8,0,2,0,0,0,4,3,10,0,4,0.3,0,-Inf,Inf,0.541176470588235,1,"DDX25","DDX25","GO:0016973;GO:0007275;GO:0006417;GO:0006406;GO:0007286"
"DDX27","DDX27","NW_021939960.1",103754300,4,11,0,1,0,0,2,3,4,12,2,3,0.333333333333333,0.666666666666667,0.5,0.5,0.597523219814241,1,"DDX27","DDX27","GO:0006364"
"DDX28","DDX28","NW_021938838.1",103766397,1,0,0,0,0,0,1,1,1,0,1,1,Inf,1,-Inf,Inf,1,1,"DDX28","DDX28","GO:1902775"
"DDX31","DDX31","NW_021940039.1",103753693,3,6,0,2,0,1,7,10,3,9,7,10,0.333333333333333,0.7,0.523809523809524,0.476190476190476,0.449475262368816,1,"DDX31","DDX31","GO:0042254"
"DDX3X","DDX3X","NW_021940813.1",103756779,0,3,0,1,0,0,0,2,0,4,0,2,0,0,NA,NA,NA,NA,"DDX3X","DDX3X","GO:0032728;GO:0007059;GO:0030308;GO:0036493;GO:0045727;GO:0010501;GO:0034161;GO:0008625;GO:0043154;GO:0009615;GO:0010628;GO:0043065;GO:0043280;GO:0098586;GO:0034063;GO:0042256;GO:0045944;GO:0035556;GO:0045070;GO:0031954;GO:0030307;GO:0045948;GO:1902042;GO:0043312;GO:1903608;GO:0071470;GO:0006413;GO:0034157;GO:1901985;GO:0090263;GO:0055088;GO:0016032;GO:0045087;GO:1900227;GO:0017148;GO:0031333;GO:1902523;GO:0007276;GO:0032508;GO:0016055;GO:1900087;GO:0032727;GO:0071651;GO:1901224;GO:0097193;GO:0071243;GO:0030154;GO:1901223;GO:0043066;GO:2001243;GO:0071902"
"DDX41","DDX41","NW_021939882.1",103764882,0,6,0,0,0,0,1,7,0,6,1,7,0,0.142857142857143,1,0,1,1,"DDX41","DDX41","GO:0000398;GO:0032481;GO:0030154;GO:0008283;GO:0006915"
"DDX42","DDX42","NW_021940764.1",103757354,10,14,0,0,0,0,2,18,10,14,2,18,0.714285714285714,0.111111111111111,-5.42857142857143,6.42857142857143,0.0388970995891019,1,"DDX42","DDX42","GO:0008104;GO:0000398;GO:0042981"
"DDX43","DDX43","NW_021940604.1",103754500,4,5,0,0,0,0,4,4,4,5,4,4,0.8,1,0.2,0.8,1,1,"DDX43",NA,NA
"DDX46","DDX46","NW_021940620.1",103756163,0,14,0,1,0,1,0,7,0,16,0,7,0,0,NA,NA,NA,NA,"DDX46","DDX46","GO:0000398"
"DDX47","DDX47","NW_021940682.1",103764571,1,0,0,2,0,0,1,2,1,2,1,2,0.5,0.5,0,1,1,1,"DDX47","DDX47","GO:0006364;GO:0008380;GO:0006397;GO:0008625"
"DDX49","DDX49","NW_021940718.1",103767310,4,3,0,2,0,0,1,6,4,5,1,6,0.8,0.166666666666667,-3.8,4.8,0.307692307692308,1,"DDX49","DDX49","GO:0006364;GO:0044357;GO:0030307"
"DDX5","DDX5","NW_021939798.1",103759919,0,3,0,1,0,0,0,6,0,4,0,6,0,0,NA,NA,NA,NA,"DDX5","DDX5","GO:0043517;GO:0000380;GO:0030520;GO:0045667;GO:1902893;GO:0061614;GO:0000122;GO:2001014;GO:0009299;GO:0045445;GO:0001837;GO:0048511;GO:0006357;GO:0072332;GO:0000381;GO:0000398;GO:1903800;GO:0030509;GO:0030521;GO:0000956;GO:0060765"
"DDX51","DDX51","NW_021940671.1",103762902,3,5,4,5,0,0,3,6,7,10,3,6,0.7,0.5,-0.4,1.4,1,1,"DDX51","DDX51","GO:0006364"
"DDX52","DDX52","NW_021940796.1",103761100,4,5,1,2,0,0,3,6,5,7,3,6,0.714285714285714,0.5,-0.428571428571429,1.42857142857143,1,1,"DDX52","DDX52","GO:0030490;GO:0006364"
"DDX54","DDX54","NW_021940671.1",103759429,13,23,2,3,0,0,1,13,15,26,1,13,0.576923076923077,0.0769230769230769,-6.5,7.5,0.0446348224269063,1,"DDX54","DDX54","GO:0006364;GO:0006396;GO:0045892;GO:0016070;GO:0030520"
"DDX55","DDX55","NW_021940379.1",103760173,3,7,2,2,0,0,1,3,5,9,1,3,0.555555555555556,0.333333333333333,-0.666666666666667,1.66666666666667,1,1,"DDX55",NA,NA
"DDX58","DDX58","NW_021940917.1",103757139,9,5,0,2,0,0,1,6,9,7,1,6,1.28571428571429,0.166666666666667,-6.71428571428571,7.71428571428571,0.0886207613896401,1,"DDX58","DDX58","GO:0032728;GO:0032480;GO:0032760;GO:0032755;GO:0032725;GO:0032727;GO:0045087;GO:0009615;GO:0009597;GO:0010628;GO:0039529;GO:0016032;GO:0016579;GO:0039528;GO:0051607;GO:0030334;GO:0002230;GO:0071360;GO:0060760;GO:0034344;GO:0032757;GO:0002735;GO:0051091;GO:0045944;GO:0140374;GO:0043330"
"DDX6","DDX6","NW_021940545.1",103762265,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"DDX6","DDX6","GO:0033962;GO:0034063;GO:0019827;GO:0045665;GO:1905618;GO:0017148;GO:0048515;GO:0043928;GO:0019074"
"DDX60","LOC103766109","NW_021938789.1",103766109,5,3,1,5,0,0,22,12,6,8,22,12,0.75,1.83333333333333,0.590909090909091,0.409090909090909,0.206082100371935,1,"DDX60","DDX60","GO:0009615;GO:1900246;GO:0051607;GO:0045087;GO:1900245"
"DDX60","LOC108639404","NW_021938789.1",108639404,1,1,1,0,0,0,3,1,2,1,3,1,2,3,0.333333333333333,0.666666666666667,1,1,"DDX60","DDX60","GO:0009615;GO:1900246;GO:0051607;GO:0045087;GO:1900245"
"DEAF1","DEAF1","NW_021940711.1",103760020,1,6,0,1,0,0,0,7,1,7,0,7,0.142857142857143,0,-Inf,Inf,1,1,"DEAF1","DEAF1","GO:0006366;GO:0045893;GO:0000122;GO:0033599;GO:0007281;GO:0048706;GO:0001843;GO:0045892;GO:0006357;GO:0009653"
"DECR1","DECR1","NW_021939396.1",103756103,2,2,1,0,0,0,0,3,3,2,0,3,1.5,0,-Inf,Inf,0.196428571428571,1,"DECR1","DECR1","GO:0006635;GO:0120162"
"DECR2","DECR2","NW_021938949.1",103763540,1,1,1,0,0,0,0,1,2,1,0,1,2,0,-Inf,Inf,1,1,"DECR2","DECR2","GO:0006625;GO:0033540;GO:0006636"
"DEF6","DEF6","NW_021940585.1",108640886,2,4,0,0,0,1,2,11,2,5,2,11,0.4,0.181818181818182,-1.2,2.2,0.586790505675955,1,"DEF6",NA,NA
"DEF8","DEF8","NW_021938838.1",103761051,3,5,3,3,0,0,2,6,6,8,2,6,0.75,0.333333333333333,-1.25,2.25,0.649398004815962,1,"DEF8","DEF8","GO:1900029;GO:0032418;GO:0045780;GO:0035556"
"DEGS1","DEGS1","NW_021940864.1",103754076,1,7,0,1,0,0,0,1,1,8,0,1,0.125,0,-Inf,Inf,1,1,"DEGS1","DEGS1","GO:0043312;GO:0030148;GO:0043217;GO:0046513;GO:0006636;GO:0022900"
"DEGS2","DEGS2","NW_021940750.1",103753764,0,4,1,0,0,0,2,3,1,4,2,3,0.25,0.666666666666667,0.625,0.375,1,1,"DEGS2","DEGS2","GO:0046513;GO:0030148;GO:0006667"
"DEK","DEK","NW_021940534.1",103757975,0,2,1,0,0,0,3,8,1,2,3,8,0.5,0.375,-0.333333333333333,1.33333333333333,1,1,"DEK","DEK","GO:0006357;GO:0019079;GO:2000779;GO:0006325;GO:0006366;GO:0045815;GO:0007165"
"DELE1","DELE1","NW_021939882.1",108639865,4,2,2,2,0,0,1,5,6,4,1,5,1.5,0.2,-6.5,7.5,0.145104895104895,1,"DELE1","DELE1","GO:0008625;GO:0043281"
"DENND1A","DENND1A","NW_021940039.1",103764798,4,9,1,1,0,1,7,5,5,11,7,5,0.454545454545455,1.4,0.675324675324675,0.324675324675325,0.249533039760527,1,"DENND1A","DENND1A","GO:0015031;GO:0032483;GO:0043547;GO:0032456;GO:0006897;GO:0048488"
"DENND1B","DENND1B","NW_021940565.1",103760364,2,6,0,3,0,0,2,14,2,9,2,14,0.222222222222222,0.142857142857143,-0.555555555555556,1.55555555555556,1,1,"DENND1B","DENND1B","GO:0050776;GO:0043547;GO:0032456;GO:0006897;GO:0050852;GO:0035745;GO:0015031"
"DENND2A","DENND2A","NW_021940682.1",103757254,7,13,0,4,0,0,6,8,7,17,6,8,0.411764705882353,0.75,0.450980392156863,0.549019607843137,0.486380429372643,1,"DENND2A","DENND2A","GO:0015031;GO:0050790;GO:0042147"
"DENND2C","DENND2C","NW_021940585.1",103756478,11,12,2,0,0,0,5,9,13,12,5,9,1.08333333333333,0.555555555555556,-0.95,1.95,0.504253975889126,1,"DENND2C","DENND2C","GO:0050790"
"DENND2D","DENND2D","NW_021938903.1",103755167,2,5,0,1,0,0,1,4,2,6,1,4,0.333333333333333,0.25,-0.333333333333333,1.33333333333333,1,1,"DENND2D","DENND2D","GO:0050790"
"DENND3","DENND3","NW_021939396.1",103766279,7,14,0,2,0,0,8,13,7,16,8,13,0.4375,0.615384615384615,0.2890625,0.7109375,0.752019003432467,1,"DENND3","DENND3","GO:0032483;GO:0008333;GO:0050790;GO:0044257"
"DENND4A","DENND4A","NW_021939189.1",103756997,10,29,0,4,0,0,2,11,10,33,2,11,0.303030303030303,0.181818181818182,-0.666666666666667,1.66666666666667,0.71116312314231,1,"DENND4A","DENND4A","GO:0006355;GO:0032483;GO:0050790"
"DENND4B","DENND4B","NW_021938915.1",103761972,1,7,0,1,0,0,1,21,1,8,1,21,0.125,0.0476190476190476,-1.625,2.625,0.503225806451613,1,"DENND4B","DENND4B","GO:0032483;GO:0050790"
"DENND4C","DENND4C","NW_021940612.1",103767636,4,3,0,2,0,0,19,26,4,5,19,26,0.8,0.730769230769231,-0.0947368421052632,1.09473684210526,1,1,"DENND4C","DENND4C","GO:0032869;GO:0032483;GO:0015031;GO:0072659;GO:0050790"
"DENND5A","DENND5A","NW_021940291.1",103762831,1,19,0,2,0,0,0,9,1,21,0,9,0.0476190476190476,0,-Inf,Inf,1,1,"DENND5A","DENND5A","GO:0010977;GO:0050790;GO:0042147"
"DENND5B","DENND5B","NW_021940682.1",103760961,3,25,0,4,0,0,2,12,3,29,2,12,0.103448275862069,0.166666666666667,0.379310344827586,0.620689655172414,0.632727681261554,1,"DENND5B","DENND5B","GO:0050790"
"DENND6A","DENND6A","NW_021939063.1",103755340,1,8,0,2,0,0,0,5,1,10,0,5,0.1,0,-Inf,Inf,1,1,"DENND6A","DENND6A","GO:2000049;GO:0050790"
"DENND6B","DENND6B","NW_021939012.1",103767566,1,4,0,1,0,0,1,3,1,5,1,3,0.2,0.333333333333333,0.4,0.6,1,1,"DENND6B","DENND6B","GO:0050790"
"DENR","DENR","NW_021940379.1",103760184,0,1,0,1,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,"DENR","DENR","GO:0002188;GO:0075522;GO:0032790;GO:0001731"
"DEPDC1","DEPDC1","NW_021939546.1",103755989,8,4,2,2,0,0,0,8,10,6,0,8,1.66666666666667,0,-Inf,Inf,0.00642853355196874,1,"DEPDC1","DEPDC1","GO:0043547;GO:0045892;GO:0035556"
"DEPDC1B","DEPDC1B","NW_021939324.1",103766583,6,1,1,0,0,0,6,6,7,1,6,6,7,1,-6,7,0.157688338493292,1,"DEPDC1B","DEPDC1B","GO:0030177;GO:0051056;GO:0016477;GO:0035556;GO:0043547"
"DEPDC4","DEPDC4","NW_021940682.1",103754443,3,4,2,1,0,0,3,4,5,5,3,4,1,0.75,-0.333333333333333,1.33333333333333,1,1,"DEPDC7","DEPDC7_pp_1","GO:0008150;GO:0051056;GO:0035556"
"DEPDC5","DEPDC5","NW_021940671.1",103759401,7,20,1,4,0,0,2,21,8,24,2,21,0.333333333333333,0.0952380952380952,-2.5,3.5,0.166066920854745,1,"DEPDC5","DEPDC5","GO:1904262;GO:0043547;GO:0035556;GO:0034198;GO:0032007;GO:0010506"
"DEPDC7","DEPDC7","NW_021940666.1",103761708,2,8,0,1,0,0,4,6,2,9,4,6,0.222222222222222,0.666666666666667,0.666666666666667,0.333333333333333,0.361455108359133,1,"DEPDC7","DEPDC7","GO:0008150;GO:0051056;GO:0035556"
"DEPTOR","DEPTOR","NW_021939396.1",103762557,0,0,1,1,0,0,2,4,1,1,2,4,1,0.5,-1,2,1,1,"DEPTOR","DEPTOR","GO:0045792;GO:0006469;GO:0032007;GO:2001236;GO:0035556"
"DERA","DERA","NW_021940682.1",103754051,2,3,1,1,0,1,1,0,3,5,1,0,0.6,Inf,1,0,0.444444444444444,1,"DERA","DERA","GO:0016052;GO:0046386;GO:0006098;GO:0043312;GO:0009264;GO:0046121"
"DERL1","DERL1","NW_021939396.1",103767435,0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA,"DERL1","DERL1","GO:0016032;GO:0030970;GO:0071712;GO:0030433;GO:0036503;GO:0031398;GO:0045184;GO:0006986;GO:0031648;GO:0030968;GO:0006457;GO:0016567;GO:0032092;GO:0055085"
"DERL2","DERL2","NW_021940460.1",103763600,1,4,0,1,0,0,0,1,1,5,0,1,0.2,0,-Inf,Inf,1,1,"DERL2","DERL2","GO:0008284;GO:1904153;GO:0030433;GO:0030968;GO:0030307;GO:0016032;GO:0030970;GO:1904380;GO:0001967"
"DES","DES","NW_021939632.1",103756872,0,3,0,2,0,0,1,5,0,5,1,5,0,0.2,1,0,1,1,"DES","DES","GO:0045109;GO:0008016;GO:0006936;GO:0030049;GO:0007010"
