"contig","gene_name","Entrez_id","pN_mc","pS_mc","pN_pipra","pS_pipra","pN_all","pS_all","dN_orig","dS_orig","pN","pS","dN","dS","pN.pS","dN.dS","alpha","NeutralityIndex","fisher.test.P","fisher.test.Padj"
"NW_021938808.1","SKAP1","108638660",2,2,0,0,0,1,4,4,2,3,4,4,0.666666666666667,1,0.333333333333333,0.666666666666667,1,1
"NW_021938808.1","HOXB1","103757481",0,2,0,0,0,0,1,2,0,2,1,2,0,0.5,1,0,1,1
"NW_021938808.1","HOXB3","103757483",2,2,0,0,0,0,0,0,2,2,0,0,1,NA,NA,NA,NA,NA
"NW_021938808.1","HOXB4","115307097",0,0,0,0,0,0,3,2,0,0,3,2,NA,1.5,NA,NA,NA,NA
"NW_021938808.1","HOXB6","108643509",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021938808.1","HOXB7","103757485",0,0,0,0,0,0,0,4,0,0,0,4,NA,0,NA,NA,NA,NA
"NW_021938808.1","HOXB8","103757486",0,1,0,0,0,0,2,4,0,1,2,4,0,0.5,1,0,1,1
"NW_021938808.1","HOXB9","103757487",0,2,0,0,0,0,0,2,0,2,0,2,0,0,NA,NA,NA,NA
"NW_021938808.1","CALCOCO2","103757488",2,2,0,1,0,0,5,8,2,3,5,8,0.666666666666667,0.625,-0.0666666666666667,1.06666666666667,1,1
"NW_021938808.1","UBE2Z","103757489",0,1,0,1,0,0,0,2,0,2,0,2,0,0,NA,NA,NA,NA
"NW_021938808.1","IGF2BP1","103757498",0,5,0,1,0,0,1,6,0,6,1,6,0,0.166666666666667,1,0,1,1
"NW_021938808.1","ZNF652","103757500",1,1,0,1,0,0,0,2,1,2,0,2,0.5,0,-Inf,Inf,1,1
"NW_021938808.1","PHB","103757493",0,1,0,0,0,0,1,3,0,1,1,3,0,0.333333333333333,1,0,1,1
"NW_021938808.1","LOC103757501","103757501",4,3,1,0,0,0,7,8,5,3,7,8,1.66666666666667,0.875,-0.904761904761905,1.9047619047619,0.666846143491721,1
"NW_021938808.1","SPOP","103757494",0,1,0,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA
"NW_021938808.1","SLC35B1","103757503",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021938808.1","FAM117A","108643604",1,2,0,1,0,0,1,2,1,3,1,2,0.333333333333333,0.5,0.333333333333333,0.666666666666667,1,1
"NW_021938808.1","KAT7","103757504",1,10,0,0,0,0,2,6,1,10,2,6,0.1,0.333333333333333,0.7,0.3,0.545923632610939,1
"NW_021938808.1","DLX3","115307836",1,2,0,0,0,0,0,0,1,2,0,0,0.5,NA,NA,NA,NA,NA
"NW_021938808.1","ITGA3","115307832",0,3,1,4,0,0,1,2,1,7,1,2,0.142857142857143,0.5,0.714285714285714,0.285714285714286,0.490909090909091,1
"NW_021938808.1","PDK2","103757509",2,1,0,2,0,0,3,3,2,3,3,3,0.666666666666667,1,0.333333333333333,0.666666666666667,1,1
"NW_021938808.1","PPP1R9B","103757510",0,0,0,1,0,0,0,7,0,1,0,7,0,0,NA,NA,NA,NA
"NW_021938808.1","SGCA","115307834",4,7,1,1,0,0,1,5,5,8,1,5,0.625,0.2,-2.125,3.125,0.604710305174702,1
"NW_021938808.1","COL1A1","103757512",1,8,0,0,0,0,2,24,1,8,2,24,0.125,0.0833333333333333,-0.5,1.5,1,1
"NW_021938808.1","LOC103757513","103757513",4,3,2,1,0,0,1,8,6,4,1,8,1.5,0.125,-11,12,0.0572755417956656,1
"NW_021938808.1","MPP2","103757515",1,6,0,2,0,0,0,8,1,8,0,8,0.125,0,-Inf,Inf,1,1
"NW_021938808.1","TMEM101","103757516",0,1,0,0,0,0,0,10,0,1,0,10,0,0,NA,NA,NA,NA
"NW_021938808.1","LSM12","103757517",1,0,0,0,0,0,1,2,1,0,1,2,Inf,0.5,-Inf,Inf,1,1
"NW_021938808.1","G6PC3","103757518",1,0,0,0,0,0,0,1,1,0,0,1,Inf,0,-Inf,Inf,1,1
"NW_021938808.1","HDAC5","103757520",4,2,1,0,0,0,9,2,5,2,9,2,2.5,4.5,0.444444444444444,0.555555555555556,1,1
"NW_021938814.1","NEMF","103759364",3,14,4,2,0,0,6,10,7,16,6,10,0.4375,0.6,0.270833333333333,0.729166666666667,0.73632364288649,1
"NW_021938814.1","ARF6","103759353",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938814.1","VCPKMT","103759363",0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
"NW_021938814.1","SOS2","103759362",1,11,0,2,0,0,0,12,1,13,0,12,0.0769230769230769,0,-Inf,Inf,1,1
"NW_021938814.1","L2HGDH","103759361",3,4,0,3,0,0,2,8,3,7,2,8,0.428571428571429,0.25,-0.714285714285714,1.71428571428571,1,1
"NW_021938814.1","DMAC2L","103759352",1,1,0,0,0,0,0,3,1,1,0,3,1,0,-Inf,Inf,0.4,1
"NW_021938814.1","CDKL1","103759360",3,5,2,2,0,0,2,2,5,7,2,2,0.714285714285714,1,0.285714285714286,0.714285714285714,1,1
"NW_021938814.1","MAP4K5","103759351",0,5,0,2,0,1,0,4,0,8,0,4,0,0,NA,NA,NA,NA
"NW_021938814.1","ATL1","103759359",1,5,0,1,0,0,1,8,1,6,1,8,0.166666666666667,0.125,-0.333333333333333,1.33333333333333,1,1
"NW_021938814.1","SAV1","103759350",0,2,0,1,0,0,2,0,0,3,2,0,0,Inf,1,0,0.1,1
"NW_021938814.1","NIN","103759349",4,27,2,6,1,0,7,17,7,33,7,17,0.212121212121212,0.411764705882353,0.484848484848485,0.515151515151515,0.352625707387637,1
"NW_021938814.1","ABHD12B","103759358",2,3,1,1,0,0,3,0,3,4,3,0,0.75,Inf,1,0,0.2,1
"NW_021938814.1","PYGL","103759348",2,11,0,2,0,2,2,3,2,15,2,3,0.133333333333333,0.666666666666667,0.8,0.2,0.209842788790157,1
"NW_021938814.1","TRIM9","103759356",1,3,0,1,0,0,1,2,1,4,1,2,0.25,0.5,0.5,0.5,1,1
"NW_021938814.1","TMX1","103759355",2,1,0,0,0,0,0,2,2,1,0,2,2,0,-Inf,Inf,0.4,1
"NW_021938814.1","FRMD6","103759354",4,4,0,1,0,1,0,0,4,6,0,0,0.666666666666667,NA,NA,NA,NA,NA
"NW_021938814.1","GNG2","115307846",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938814.1","RTRAF","103754045",0,2,0,2,0,0,0,2,0,4,0,2,0,0,NA,NA,NA,NA
"NW_021938814.1","NID2","103754048",13,37,4,8,0,0,8,16,17,45,8,16,0.377777777777778,0.5,0.244444444444444,0.755555555555556,0.604725416685105,1
"NW_021938814.1","PTGER2","108644148",4,1,1,1,0,0,4,3,5,2,4,3,2.5,1.33333333333333,-0.875,1.875,1,1
"NW_021938814.1","TXNDC16","103754047",12,4,4,2,0,0,3,7,16,6,3,7,2.66666666666667,0.428571428571429,-5.22222222222222,6.22222222222222,0.0494486627653916,1
"NW_021938814.1","LOC108642821","108642821",7,3,1,0,3,1,0,0,11,4,0,0,2.75,NA,NA,NA,NA,NA
"NW_021938814.1","GPR137C","103754122",6,4,0,1,0,0,3,2,6,5,3,2,1.2,1.5,0.2,0.8,1,1
"NW_021938814.1","ERO1A","103754124",1,8,0,1,0,0,3,5,1,9,3,5,0.111111111111111,0.6,0.814814814814815,0.185185185185185,0.274509803921569,1
"NW_021938814.1","PSMC6","103754125",1,1,0,1,0,0,0,4,1,2,0,4,0.5,0,-Inf,Inf,0.428571428571428,1
"NW_021938814.1","STYX","103754116",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938814.1","GNPNAT1","103754117",0,1,0,0,0,0,2,5,0,1,2,5,0,0.4,1,0,1,1
"NW_021938814.1","FERMT2","103754126",0,9,0,4,0,0,0,3,0,13,0,3,0,0,NA,NA,NA,NA
"NW_021938814.1","DDHD1","103754127",0,6,1,4,0,0,0,2,1,10,0,2,0.1,0,-Inf,Inf,1,1
"NW_021938821.1","NUP50","103753846",1,5,2,1,0,0,3,9,3,6,3,9,0.5,0.333333333333333,-0.5,1.5,1,1
"NW_021938821.1","KIAA0930","103753845",2,3,0,1,0,0,0,3,2,4,0,3,0.5,0,-Inf,Inf,0.5,1
"NW_021938821.1","UPK3A","103760849",5,3,1,0,0,0,4,4,6,3,4,4,2,1,-1,2,0.637186343068696,1
"NW_021938821.1","FAM118A","103760845",1,2,0,0,0,0,0,5,1,2,0,5,0.5,0,-Inf,Inf,0.375,1
"NW_021938821.1","SMC1B","103760850",7,10,1,3,0,0,5,13,8,13,5,13,0.615384615384615,0.384615384615385,-0.6,1.6,0.734239244806542,1
"NW_021938821.1","RIBC2","103760851",0,2,0,0,0,0,0,6,0,2,0,6,0,0,NA,NA,NA,NA
"NW_021938821.1","FBLN1","103760852",1,8,1,1,0,1,6,12,2,10,6,12,0.2,0.5,0.6,0.4,0.419151962480298,1
"NW_021938821.1","ATXN10","103760853",9,6,1,1,0,0,11,8,10,7,11,8,1.42857142857143,1.375,-0.0389610389610389,1.03896103896104,1,1
"NW_021938821.1","WNT7B","103760846",0,1,0,1,0,0,0,1,0,2,0,1,0,0,NA,NA,NA,NA
"NW_021938821.1","PPARA","103760848",0,1,0,0,0,0,0,3,0,1,0,3,0,0,NA,NA,NA,NA
"NW_021938821.1","CDPF1","103760854",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021938821.1","PKDREJ","115307859",4,3,7,13,0,0,28,21,11,16,28,21,0.6875,1.33333333333333,0.484375,0.515625,0.231454847542491,1
"NW_021938821.1","TTC38","103760856",0,2,0,4,0,0,3,4,0,6,3,4,0,0.75,1,0,0.192307692307692,1
"NW_021938821.1","LOC103760858","103760858",1,0,0,1,0,0,11,8,1,1,11,8,1,1.375,0.272727272727273,0.727272727272727,1,1
"NW_021938824.1","GKN1","108644274",0,1,0,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA
"NW_021938824.1","ANTXR1","103753823",0,5,0,1,0,0,2,3,0,6,2,3,0,0.666666666666667,1,0,0.181818181818182,1
"NW_021938824.1","GFPT1","103753834",0,9,0,1,0,0,1,5,0,10,1,5,0,0.2,1,0,0.375,1
"NW_021938824.1","NFU1","103753802",2,1,0,0,0,0,1,2,2,1,1,2,2,0.5,-3,4,1,1
"NW_021938824.1","AAK1","103753843",5,9,2,3,0,0,5,11,7,12,5,11,0.583333333333333,0.454545454545455,-0.283333333333333,1.28333333333333,1,1
"NW_021938824.1","ANXA4","103753812",0,0,1,1,0,0,3,2,1,1,3,2,1,1.5,0.333333333333333,0.666666666666667,1,1
"NW_021938824.1","GMCL1","103753854",2,6,1,2,0,0,0,1,3,8,0,1,0.375,0,-Inf,Inf,1,1
"NW_021938824.1","LOC103753866","103753866",1,13,0,1,0,0,1,12,1,14,1,12,0.0714285714285714,0.0833333333333333,0.142857142857143,0.857142857142857,1,1
"NW_021938824.1","LOC103753886","103753886",4,5,2,1,0,0,4,4,6,6,4,4,1,1,0,1,1,1
"NW_021938824.1","SNRNP27","108644275",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021938824.1","MXD1","108644271",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021938824.1","USP39","103753905",0,3,0,1,0,0,1,4,0,4,1,4,0,0.25,1,0,1,1
"NW_021938824.1","GGCX","115307888",1,1,0,1,0,0,0,4,1,2,0,4,0.5,0,-Inf,Inf,0.428571428571428,1
"NW_021938824.1","LOC103753925","103753925",0,2,0,0,0,0,0,6,0,2,0,6,0,0,NA,NA,NA,NA
"NW_021938824.1","LOC103753934","103753934",1,1,0,0,0,0,3,2,1,1,3,2,1,1.5,0.333333333333333,0.666666666666667,1,1
"NW_021938824.1","LOC115307891","115307891",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938824.1","FAHD2B","103753956",1,3,0,0,0,0,2,3,1,3,2,3,0.333333333333333,0.666666666666667,0.5,0.5,1,1
"NW_021938824.1","LOC108644277","108644277",3,6,0,0,0,0,4,8,3,6,4,8,0.5,0.5,0,1,1,1
"NW_021938824.1","ELMOD3","103754261",0,1,1,1,0,0,2,4,1,2,2,4,0.5,0.5,0,1,1,1
"NW_021938824.1","RETSAT","103754249",2,4,0,0,0,0,13,17,2,4,13,17,0.5,0.764705882352941,0.346153846153846,0.653846153846154,1,1
"NW_021938824.1","TGOLN2","103754241",2,3,0,0,0,0,13,8,2,3,13,8,0.666666666666667,1.625,0.58974358974359,0.41025641025641,0.619565217391304,1
"NW_021938824.1","TCF7L1","103754233",1,3,0,0,0,0,1,6,1,3,1,6,0.333333333333333,0.166666666666667,-1,2,1,1
"NW_021938824.1","DBNL","103754223",0,1,0,0,0,0,2,11,0,1,2,11,0,0.181818181818182,1,0,1,1
"NW_021938824.1","CAPG","103754214",2,2,0,0,0,0,1,4,2,2,1,4,1,0.25,-3,4,0.523809523809524,1
"NW_021938824.1","AEBP1","103754204",2,4,1,2,0,0,4,12,3,6,4,12,0.5,0.333333333333333,-0.5,1.5,0.672877054295818,1
"NW_021938824.1","POLD2","103754193",2,3,0,0,0,0,5,13,2,3,5,13,0.666666666666667,0.384615384615385,-0.733333333333333,1.73333333333333,0.621385479509049,1
"NW_021938824.1","LOC108644273","108644273",2,1,0,0,0,0,3,5,2,1,3,5,2,0.6,-2.33333333333333,3.33333333333333,0.545454545454546,1
"NW_021938824.1","GCK","103754183",1,4,0,3,0,0,0,4,1,7,0,4,0.142857142857143,0,-Inf,Inf,1,1
"NW_021938824.1","YKT6","103754101",0,1,0,1,0,0,0,1,0,2,0,1,0,0,NA,NA,NA,NA
"NW_021938824.1","CAMK2B","103754173",0,2,0,0,0,0,3,3,0,2,3,3,0,1,1,0,0.464285714285714,1
"NW_021938824.1","NUDCD3","103754164",0,0,0,1,0,0,3,4,0,1,3,4,0,0.75,1,0,1,1
"NW_021938824.1","SLC20A1","103754155",1,3,1,1,0,0,4,9,2,4,4,9,0.5,0.444444444444444,-0.125,1.125,1,1
"NW_021938824.1","LOC103754144","103754144",3,0,1,0,0,0,0,7,4,0,0,7,Inf,0,-Inf,Inf,0.00303030303030303,1
"NW_021938824.1","CKAP2L","103754134",5,3,1,1,0,0,7,13,6,4,7,13,1.5,0.538461538461538,-1.78571428571429,2.78571428571429,0.255286642393089,1
"NW_021938824.1","LOC103754090","103754090",1,1,1,0,0,0,6,4,2,1,6,4,2,1.5,-0.333333333333333,1.33333333333333,1,1
"NW_021938824.1","OGDH","103754054",1,0,0,3,0,0,0,12,1,3,0,12,0.333333333333333,0,-Inf,Inf,0.25,1
"NW_021938824.1","ZMIZ2","103754123",0,0,0,0,0,0,1,4,0,0,1,4,NA,0.25,NA,NA,NA,NA
"NW_021938824.1","PPIA","103754112",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021938824.1","LOC115307897","115307897",2,4,0,0,0,0,2,1,2,4,2,1,0.5,2,0.75,0.25,0.523809523809524,1
"NW_021938824.1","LOC103761271","103761271",2,2,1,0,0,0,4,4,3,2,4,4,1.5,1,-0.5,1.5,1,1
"NW_021938827.1","LOC115307904","115307904",3,4,0,0,0,1,1,0,3,5,1,0,0.6,Inf,1,0,0.444444444444444,1
"NW_021938827.1","LOC103761268","103761268",8,18,3,1,0,0,4,11,11,19,4,11,0.578947368421053,0.363636363636364,-0.592105263157895,1.59210526315789,0.738377204248235,1
"NW_021938827.1","LOC115307912","115307912",0,12,0,7,0,0,0,5,0,19,0,5,0,0,NA,NA,NA,NA
"NW_021938827.1","LOC115307913","115307913",2,1,0,1,0,0,0,0,2,2,0,0,1,NA,NA,NA,NA,NA
"NW_021938827.1","PRCC","103761681",1,3,0,0,0,0,2,6,1,3,2,6,0.333333333333333,0.333333333333333,0,1,1,1
"NW_021938827.1","HDGF","103762721",2,3,0,0,0,0,0,5,2,3,0,5,0.666666666666667,0,-Inf,Inf,0.444444444444444,1
"NW_021938827.1","NES","103759603",18,15,5,4,0,0,18,23,23,19,18,23,1.21052631578947,0.782608695652174,-0.546783625730994,1.54678362573099,0.38275229045424,1
"NW_021938827.1","BCAN","103759604",2,6,0,1,0,0,1,4,2,7,1,4,0.285714285714286,0.25,-0.142857142857143,1.14285714285714,1,1
"NW_021938827.1","HAPLN2","103759605",2,6,0,2,0,0,3,2,2,8,3,2,0.25,1.5,0.833333333333333,0.166666666666667,0.250749250749251,1
"NW_021938827.1","LOC103759606","103759606",6,8,0,1,0,1,5,7,6,10,5,7,0.6,0.714285714285714,0.16,0.84,1,1
"NW_021938827.1","MEF2D","103759608",3,5,0,0,0,0,1,3,3,5,1,3,0.6,0.333333333333333,-0.8,1.8,1,1
"NW_021938827.1","IQGAP3","103759609",16,17,1,3,0,0,18,27,17,20,18,27,0.85,0.666666666666667,-0.275,1.275,0.656626895996566,1
"NW_021938827.1","TTC24","103759610",5,7,0,2,0,0,13,16,5,9,13,16,0.555555555555556,0.8125,0.316239316239316,0.683760683760684,0.743829744515892,1
"NW_021938827.1","NAXE","103759612",3,6,0,1,0,1,0,6,3,8,0,6,0.375,0,-Inf,Inf,0.514705882352941,1
"NW_021938827.1","GPATCH4","103759613",2,1,1,1,0,0,3,4,3,2,3,4,1.5,0.75,-1,2,1,1
"NW_021938827.1","UBQLN4","103759589",0,3,1,0,0,0,2,3,1,3,2,3,0.333333333333333,0.666666666666667,0.5,0.5,1,1
"NW_021938827.1","LAMTOR2","103759614",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021938827.1","RAB25","103759590",0,0,0,1,0,0,0,4,0,1,0,4,0,0,NA,NA,NA,NA
"NW_021938827.1","LOC103759615","103759615",1,4,0,0,0,0,0,4,1,4,0,4,0.25,0,-Inf,Inf,1,1
"NW_021938827.1","MEX3A","103759616",1,4,0,0,0,0,0,3,1,4,0,3,0.25,0,-Inf,Inf,1,1
"NW_021938827.1","LMNA","103759591",0,3,1,3,0,0,1,12,1,6,1,12,0.166666666666667,0.0833333333333333,-1,2,1,1
"NW_021938827.1","SEMA4A","103759617",4,7,0,0,0,1,9,18,4,8,9,18,0.5,0.5,0,1,1,1
"NW_021938827.1","SLC25A44","103759592",0,0,0,0,0,0,0,4,0,0,0,4,NA,0,NA,NA,NA,NA
"NW_021938827.1","PMF1","103759618",0,0,1,0,0,0,3,2,1,0,3,2,Inf,1.5,-Inf,Inf,1,1
"NW_021938827.1","BGLAP","108644292",1,1,0,0,0,0,1,2,1,1,1,2,1,0.5,-1,2,1,1
"NW_021938827.1","PAQR6","115307918",0,0,0,0,0,0,3,2,0,0,3,2,NA,1.5,NA,NA,NA,NA
"NW_021938827.1","SMG5","103759619",3,4,0,1,0,0,0,9,3,5,0,9,0.6,0,-Inf,Inf,0.0823529411764705,1
"NW_021938827.1","TMEM79","103759593",2,0,0,2,0,0,4,4,2,2,4,4,1,1,0,1,1,1
"NW_021938827.1","TPM3","103759595",0,1,0,0,0,0,1,0,0,1,1,0,0,Inf,1,0,1,1
"NW_021938827.1","CUNH1orf189","103759596",0,2,0,0,0,0,1,1,0,2,1,1,0,1,1,0,1,1
"NW_021938827.1","CUNH1orf43","103759597",0,1,0,0,0,0,1,4,0,1,1,4,0,0.25,1,0,1,1
"NW_021938827.1","UBAP2L","103759620",6,9,0,1,0,0,5,15,6,10,5,15,0.6,0.333333333333333,-0.8,1.8,0.483376591274255,1
"NW_021938827.1","HAX1","103759621",1,1,0,0,0,0,5,5,1,1,5,5,1,1,0,1,1,1
"NW_021938827.1","AQP10","103759622",0,1,1,0,0,0,11,5,1,1,11,5,1,2.2,0.545454545454545,0.454545454545455,1,1
"NW_021938827.1","ATP8B2","103759623",10,5,0,2,0,0,8,30,10,7,8,30,1.42857142857143,0.266666666666667,-4.35714285714286,5.35714285714286,0.0114412358171283,1
"NW_021938827.1","IL6R","103759624",3,2,0,0,0,0,9,13,3,2,9,13,1.5,0.692307692307692,-1.16666666666667,2.16666666666667,0.628019323671498,1
"NW_021938827.1","SHE","103759598",0,2,0,1,0,0,3,5,0,3,3,5,0,0.6,1,0,0.490909090909091,1
"NW_021938827.1","UBE2Q1","103759625",0,1,0,0,0,0,4,2,0,1,4,2,0,2,1,0,0.428571428571429,1
"NW_021938827.1","CHRNB2","103759626",1,1,0,0,0,0,3,9,1,1,3,9,1,0.333333333333333,-2,3,0.505494505494505,1
"NW_021938827.1","ADAR","103759627",5,4,2,2,0,0,13,12,7,6,13,12,1.16666666666667,1.08333333333333,-0.0769230769230769,1.07692307692308,1,1
"NW_021938827.1","KCNN3","103759628",1,0,0,0,0,0,0,2,1,0,0,2,Inf,0,-Inf,Inf,0.333333333333333,1
"NW_021938827.1","PMVK","103759629",2,4,0,1,0,0,6,9,2,5,6,9,0.4,0.666666666666667,0.4,0.6,1,1
"NW_021938827.1","SHC1","103759599",0,2,1,0,0,0,0,5,1,2,0,5,0.5,0,-Inf,Inf,0.375,1
"NW_021938827.1","CKS1B","115307908",1,0,0,0,0,0,0,1,1,0,0,1,Inf,0,-Inf,Inf,1,1
"NW_021938827.1","FLAD1","103759631",1,3,0,0,0,0,0,14,1,3,0,14,0.333333333333333,0,-Inf,Inf,0.222222222222222,1
"NW_021938827.1","LOC108644291","108644291",6,3,3,0,0,1,4,8,9,4,4,8,2.25,0.5,-3.5,4.5,0.115238543930158,1
"NW_021938827.1","ZBTB7B","103759632",0,2,0,0,0,0,0,4,0,2,0,4,0,0,NA,NA,NA,NA
"NW_021938827.1","SSR2","103759601",1,1,0,0,0,0,0,3,1,1,0,3,1,0,-Inf,Inf,0.4,1
"NW_021938827.1","CCT3","103759633",1,3,0,0,0,0,0,3,1,3,0,3,0.333333333333333,0,-Inf,Inf,1,1
"NW_021938834.1","MUC16","108644297",2,0,0,0,0,0,9,2,2,0,9,2,Inf,4.5,-Inf,Inf,1,1
"NW_021938834.1","LOC103767051","103767051",0,5,0,0,0,0,0,8,0,5,0,8,0,0,NA,NA,NA,NA
"NW_021938834.1","ADAMTS10","103767041",6,4,0,1,0,0,3,11,6,5,3,11,1.2,0.272727272727273,-3.4,4.4,0.115321039170817,1
"NW_021938834.1","LOC103767030","103767030",2,12,1,0,0,0,7,23,3,12,7,23,0.25,0.304347826086957,0.178571428571429,0.821428571428571,1,1
"NW_021938834.1","ZNF414","103767186",1,2,0,0,0,0,2,4,1,2,2,4,0.5,0.5,0,1,1,1
"NW_021938834.1","LOC103767012","103767012",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021938834.1","ACER1","103767001",0,1,0,0,0,0,1,9,0,1,1,9,0,0.111111111111111,1,0,1,1
"NW_021938834.1","MLLT1","103767171",2,3,0,0,0,0,0,7,2,3,0,7,0.666666666666667,0,-Inf,Inf,0.151515151515152,1
"NW_021938834.1","ACSBG2","103767159",1,5,0,0,0,0,1,8,1,5,1,8,0.2,0.125,-0.6,1.6,1,1
"NW_021938834.1","RFX2","103766990",1,1,0,0,0,0,1,11,1,1,1,11,1,0.0909090909090909,-10,11,0.274725274725275,1
"NW_021938834.1","LOC103767150","103767150",2,3,0,0,0,0,12,14,2,3,12,14,0.666666666666667,0.857142857142857,0.222222222222222,0.777777777777778,1,1
"NW_021938834.1","IFI30","103767141",3,1,0,0,0,0,3,12,3,1,3,12,3,0.25,-11,12,0.0709494324045407,1
"NW_021938834.1","PIK3R2","103766979",0,5,0,1,0,0,1,13,0,6,1,13,0,0.0769230769230769,1,0,1,1
"NW_021938834.1","MAST3","103767132",1,4,0,0,0,0,4,27,1,4,4,27,0.25,0.148148148148148,-0.6875,1.6875,0.549298128342246,1
"NW_021938834.1","IL12RB1","103767123",3,5,1,0,0,0,20,14,4,5,20,14,0.8,1.42857142857143,0.44,0.56,0.476578266822169,1
"NW_021938834.1","ARRDC2","103767114",2,2,0,0,0,0,3,7,2,2,3,7,1,0.428571428571429,-1.33333333333333,2.33333333333333,0.580419580419581,1
"NW_021938834.1","PEX11G","103767104",0,2,0,0,0,0,2,2,0,2,2,2,0,1,1,0,0.466666666666667,1
"NW_021938834.1","LOC103766970","103766970",0,3,0,0,0,0,3,16,0,3,3,16,0,0.1875,1,0,1,1
"NW_021938834.1","ARHGEF18","103766958",1,3,0,0,0,0,10,12,1,3,10,12,0.333333333333333,0.833333333333333,0.6,0.4,0.61371237458194,1
"NW_021938834.1","INSR","103766947",1,1,0,1,0,0,1,25,1,2,1,25,0.5,0.04,-11.5,12.5,0.199507389162562,1
"NW_021938834.1","USE1","103766937",0,1,0,0,0,0,3,4,0,1,3,4,0,0.75,1,0,1,1
"NW_021938834.1","MYO9B","103766927",2,5,0,1,0,0,19,26,2,6,19,26,0.333333333333333,0.730769230769231,0.543859649122807,0.456140350877193,0.454994580924142,1
"NW_021938834.1","HAUS8","103767093",0,0,0,1,0,0,8,5,0,1,8,5,0,1.6,1,0,0.428571428571428,1
"NW_021938834.1","CPAMD8","103767082",3,6,0,1,0,0,8,20,3,7,8,20,0.428571428571429,0.4,-0.0714285714285714,1.07142857142857,1,1
"NW_021938834.1","F2RL3","103766917",4,3,0,0,0,0,3,11,4,3,3,11,1.33333333333333,0.272727272727273,-3.88888888888889,4.88888888888889,0.156363949088407,1
"NW_021938834.1","SIN3B","103767075",3,2,0,1,0,0,1,19,3,3,1,19,1,0.0526315789473684,-18,19,0.0277591973244147,1
"NW_021938835.1","KCNJ15","103767568",1,2,0,4,0,0,2,2,1,6,2,2,0.166666666666667,1,0.833333333333333,0.166666666666667,0.490909090909091,1
"NW_021938835.1","ERG","103767569",1,6,0,1,0,0,0,2,1,7,0,2,0.142857142857143,0,-Inf,Inf,1,1
"NW_021938835.1","ETS2","103767571",2,2,0,1,0,0,0,1,2,3,0,1,0.666666666666667,0,-Inf,Inf,1,1
"NW_021938835.1","PSMG1","108638647",0,0,0,0,0,0,0,3,0,0,0,3,NA,0,NA,NA,NA,NA
"NW_021938835.1","BRWD1","103767577",10,11,1,9,0,0,13,19,11,20,13,19,0.55,0.684210526315789,0.196153846153846,0.803846153846154,0.796598489750303,1
"NW_021938835.1","HMGN1","103767578",1,2,1,1,0,0,2,0,2,3,2,0,0.666666666666667,Inf,1,0,0.428571428571428,1
"NW_021938835.1","LCA5L","103767579",9,11,3,0,1,0,5,6,13,11,5,6,1.18181818181818,0.833333333333333,-0.418181818181818,1.41818181818182,0.724671857619577,1
"NW_021938835.1","LOC103767573","103767573",1,1,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA
"NW_021938835.1","B3GALT5","103767574",4,4,1,1,1,0,3,8,6,5,3,8,1.2,0.375,-2.2,3.2,0.386996904024768,1
"NW_021938835.1","IGSF5","103767580",4,4,0,2,0,0,1,4,4,6,1,4,0.666666666666667,0.25,-1.66666666666667,2.66666666666667,0.6003996003996,1
"NW_021938837.1","CTNNA2","103764967",0,8,0,1,0,0,0,3,0,9,0,3,0,0,NA,NA,NA,NA
"NW_021938837.1","LRRTM1","103764863",0,5,0,0,0,0,0,0,0,5,0,0,0,NA,NA,NA,NA,NA
"NW_021938838.1","SLC12A4","103766377",0,2,0,0,0,0,2,11,0,2,2,11,0,0.181818181818182,1,0,1,1
"NW_021938838.1","LOC103766376","103766376",0,0,0,0,0,0,2,4,0,0,2,4,NA,0.5,NA,NA,NA,NA
"NW_021938838.1","DDX28","103766397",1,0,0,0,0,0,1,1,1,0,1,1,Inf,1,-Inf,Inf,1,1
"NW_021938838.1","DUS2","103766375",1,2,0,0,0,0,2,5,1,2,2,5,0.5,0.4,-0.25,1.25,1,1
